1	race	age	engnat	gender	hand	source	country	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
13480	3	28	2	1	1	1	NL	3	4	3	4	2	4	3	3	4	4	1	5	3	4	2	2	1	1	1	1	1	4	1	5	2	3	2	4	3	4	4	4	5	4	3	2	4	3	2	5	5	2	5	2	4	1	5	5	4	5
13481	3	17	1	1	1	1	GB	3	4	5	4	4	3	3	4	3	5	2	5	1	4	3	2	2	1	4	2	1	5	1	5	1	5	1	5	5	5	3	3	4	4	1	4	2	4	1	3	3	3	2	5	4	3	5	3	5	3
13482	13	16	1	1	2	1	AU	3	3	3	3	5	2	3	5	1	3	4	2	5	2	3	1	2	2	4	2	2	5	2	4	1	1	2	3	3	3	3	2	3	2	3	2	3	2	3	2	3	2	5	1	3	1	3	2	5	4
13483	3	21	2	1	1	1	HR	3	4	4	4	3	3	2	4	3	4	4	3	4	3	3	3	1	2	2	2	3	3	1	4	3	4	2	3	4	3	2	1	4	2	3	2	4	1	2	2	2	2	3	3	4	2	5	2	5	5
13484	4	45	2	1	1	1	SG	5	1	5	1	5	1	5	1	5	1	5	5	5	1	1	5	5	5	5	3	1	5	5	5	1	5	1	4	5	5	3	5	5	4	1	4	4	3	3	4	5	1	5	1	5	1	5	5	5	5
13485	11	20	1	2	1	1	GB	4	1	4	1	4	1	5	1	5	2	3	2	5	4	4	5	4	4	4	4	1	5	1	5	1	5	1	5	5	5	3	4	4	3	3	2	5	3	4	5	1	1	5	1	4	1	5	1	5	5
13486	3	30	2	2	1	1	GB	1	3	3	4	3	5	3	5	1	5	5	2	5	1	5	4	4	4	5	5	3	3	1	3	3	3	2	4	2	3	1	3	4	4	2	2	5	3	2	3	4	3	4	3	1	2	4	3	5	1
13487	1	18	1	1	1	1	GB	5	2	4	2	4	3	5	2	5	2	2	4	5	2	5	3	4	4	2	4	1	4	2	5	2	5	2	5	5	3	2	4	2	3	1	5	3	5	1	3	4	3	3	4	5	2	3	4	4	5
13488	3	28	2	1	1	1	IT	4	4	4	2	4	2	2	3	4	3	5	2	4	1	4	1	1	1	2	1	3	5	4	4	1	3	2	4	4	4	2	2	5	2	5	1	1	3	1	2	5	1	5	1	3	1	4	5	5	4
13489	3	34	2	1	1	1	DE	4	1	5	3	3	2	3	3	4	5	2	2	2	4	1	3	3	1	1	1	2	3	1	3	3	1	3	3	2	3	3	4	5	1	3	1	1	4	4	5	4	1	4	1	4	1	5	5	5	4
13490	3	29	1	2	1	1	AU	1	2	3	3	2	3	2	5	2	5	5	2	5	3	4	3	2	2	3	3	2	4	2	5	1	5	2	5	4	2	4	4	4	2	2	3	4	1	4	4	5	1	4	2	4	2	5	4	4	4
13491	3	23	1	2	1	1	GR	2	4	3	4	5	1	1	5	1	5	4	2	4	1	2	4	5	5	3	3	3	5	1	3	2	4	2	4	5	5	1	2	5	3	3	4	3	1	1	5	5	1	5	1	3	2	5	5	3	4
13492	3	31	2	1	1	1	IT	1	1	2	2	4	2	2	2	2	4	2	4	5	4	2	4	4	4	2	4	3	4	3	4	2	2	2	4	4	2	4	5	4	4	3	5	4	2	1	5	5	2	4	1	5	1	5	5	5	4
